,company,name,models,gear,year,kms,owner,fuel,price
0,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,34417,1,P,640799
1,Maruti,Baleno,ZETA 1.2 K12,Manual,2016,25849,1,P,640799
2,Hyundai,i20,SPORTZ 1.2 O,Manual,2010,32395,1,P,405299
3,Maruti,Swift Dzire,VXI 1.2 BS IV,Manual,2014,49515,1,P,451399
4,Volkswagen,Polo,COMFORTLINE 1.0 PETROL,Manual,2018,30201,1,P,619099
5,Maruti,Dzire,VXI,Manual,2018,27281,1,P,669799
6,Hyundai,Elite i20,ASTA 1.4 CRDI,Manual,2016,43221,2,D,699599
7,Hyundai,Creta,1.6 CRDI SX PLUS AUTO,Automatic,2017,38962,1,D,1265399
8,Audi,A3,35TDI,Automatic,2015,87843,1,D,1590199
9,Renault,TRIBER,1.0 RXT,Manual,2019,28621,2,P,641999
10,Maruti,Swift Dzire,VXI AMT,Automatic,2014,33716,2,P,557899
11,Maruti,Swift,VDI ABS,Manual,2015,81015,3,D,537699
12,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2016,12541,1,P,508699
13,Maruti,Ritz,ZXI ABS,Manual,2015,54899,1,P,464499
14,Honda,Amaze,1.2 EXMT I VTEC,Manual,2014,58249,2,P,464199
15,Tata,Tiago,XZ 1.2 REVOTRON,Manual,2016,28589,2,P,501899
16,Maruti,Baleno,DELTA 1.2 K12,Manual,2017,24480,1,P,616699
17,Ford,Figo,1.2 TITANIUM DURATEC,Manual,2013,31710,1,P,409299
18,Maruti,IGNIS,DELTA 1.2 K12,Manual,2017,29132,1,P,540399
19,Hyundai,i20,SPORTZ 1.4 AT VTVT,Automatic,2013,50903,1,P,548399
20,Volkswagen,Polo,HIGHLINE1.2L PETROL,Manual,2015,73563,2,P,539499
21,KIA,SELTOS,GTX 1.4 GDI AT PETROL,Automatic,2019,15023,1,P,1665899
22,Ford,Figo Aspire,1.2 TITANIUM PETROL,Manual,2017,22645,1,P,607399
23,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,Automatic,2014,114634,2,P,450599
24,Mahindra,XUV500,W8 FWD,Manual,2017,45362,1,D,1360099
